user_id,age,income_bracket,pref_category_1,avg_spend_3mo,visit_frequency,segment_target
50143,53,High,Plumber,45.81,Daily,Low Value
50144,41,High,Gym,16.5,Rarely,Low Value
50145,22,Low,Bakery,36.27,Rarely,Low Value
50146,45,Low,Auto Repair,25.75,Daily,Low Value
50147,52,Medium,Pet Store,51.95,Monthly,Medium Value
50148,63,High,Auto Repair,5.0,Monthly,Low Value
50149,46,Medium,Auto Repair,5.0,Rarely,Low Value
50150,48,Medium,Plumber,82.21,Rarely,Low Value
50151,49,Low,Boutique,57.51,Daily,Low Value
50152,48,Medium,Hair Salon,95.41,Daily,High Value
50153,28,Medium,Restaurant,13.41,Weekly,Low Value
50154,32,Medium,Boutique,27.8,Monthly,Low Value
50155,28,Medium,Coffee Shop,42.98,Daily,Low Value
50156,55,High,Gym,28.1,Monthly,Low Value
50157,39,Low,Pet Store,53.94,Rarely,Low Value
50158,57,Low,Plumber,42.44,Rarely,Low Value
50159,68,Low,Gym,23.46,Rarely,Low Value
50160,38,Medium,Pet Store,35.46,Weekly,Medium Value
50161,64,Medium,Plumber,63.81,Weekly,Medium Value
50162,27,Medium,Restaurant,5.0,Weekly,Low Value
50163,43,Medium,Bakery,39.23,Weekly,Medium Value
50164,28,Medium,Plumber,23.99,Rarely,Low Value
50165,67,Medium,Coffee Shop,27.99,Rarely,Low Value
50166,29,Low,Hair Salon,28.1,Rarely,Low Value
50167,44,Medium,Gym,101.85,Rarely,Low Value
50168,32,Medium,Bookstore,11.38,Monthly,Low Value
50169,65,Low,Auto Repair,20.61,Weekly,Low Value
50170,65,High,Boutique,46.31,Weekly,Medium Value
50171,53,Low,Boutique,45.34,Weekly,Medium Value
50172,24,Medium,Restaurant,50.1,Weekly,Medium Value
50173,47,High,Bakery,36.25,Weekly,Medium Value
50174,20,Medium,Restaurant,48.92,Daily,Low Value
50175,40,High,Restaurant,32.35,Weekly,Medium Value
50176,41,Medium,Hair Salon,65.99,Weekly,Medium Value
50177,43,Medium,Bookstore,38.91,Daily,Low Value
50178,48,Medium,Coffee Shop,99.91,Daily,High Value
50179,26,Medium,Hair Salon,7.45,Weekly,Low Value
50180,58,High,Hair Salon,32.87,Weekly,Medium Value
50181,64,Low,Plumber,5.0,Monthly,Low Value
50182,23,Medium,Bakery,60.06,Weekly,Medium Value
50183,35,Medium,Hair Salon,53.38,Weekly,Medium Value
50184,30,High,Auto Repair,69.73,Monthly,Medium Value
50185,52,Medium,Boutique,73.8,Rarely,Low Value
50186,24,Low,Coffee Shop,55.66,Weekly,Medium Value
50187,68,Low,Hair Salon,57.18,Monthly,Medium Value
50188,25,Medium,Bakery,56.44,Monthly,Medium Value
50189,54,Medium,Hair Salon,5.0,Weekly,Low Value
50190,61,High,Bookstore,34.55,Monthly,Medium Value
50191,19,Low,Hair Salon,24.76,Rarely,Low Value
50192,47,Low,Coffee Shop,53.75,Rarely,Low Value
50193,25,Low,Coffee Shop,5.0,Weekly,Low Value
50194,60,Low,Restaurant,36.18,Weekly,Medium Value
50195,64,Medium,Pet Store,31.62,Monthly,Medium Value
50196,18,Medium,Hair Salon,63.41,Weekly,Medium Value
50197,61,Low,Hair Salon,57.6,Weekly,Medium Value
50198,33,High,Gym,6.49,Monthly,Low Value
50199,57,Medium,Hair Salon,54.63,Weekly,Medium Value
50200,45,Medium,Gym,5.0,Weekly,Low Value
50201,39,High,Boutique,8.39,Daily,Low Value
50202,65,Medium,Bakery,62.9,Rarely,Low Value
50203,58,Medium,Gym,7.82,Daily,Low Value
50204,36,Medium,Bakery,35.5,Daily,Low Value
50205,23,Medium,Restaurant,13.25,Rarely,Low Value
50206,46,High,Pet Store,73.19,Rarely,Low Value
50207,56,High,Restaurant,38.51,Rarely,Low Value
50208,32,Low,Restaurant,77.84,Rarely,Low Value
50209,66,Medium,Auto Repair,63.29,Monthly,Medium Value
50210,50,Medium,Auto Repair,38.59,Daily,Low Value
50211,43,Low,Auto Repair,47.58,Weekly,Medium Value
50212,51,Medium,Auto Repair,36.83,Weekly,Medium Value
50213,61,Medium,Hair Salon,16.57,Weekly,Low Value
50214,18,High,Gym,26.95,Weekly,Low Value
50215,21,Medium,Gym,72.81,Weekly,Medium Value
50216,29,Medium,Plumber,34.24,Rarely,Low Value
50217,53,Low,Coffee Shop,5.0,Rarely,Low Value
50218,65,Medium,Restaurant,75.25,Weekly,Medium Value
50219,30,Medium,Gym,40.32,Daily,Low Value
50220,66,Low,Hair Salon,41.93,Monthly,Medium Value
50221,46,Medium,Bookstore,5.0,Weekly,Low Value
50222,36,High,Auto Repair,5.0,Monthly,Low Value
50223,43,Medium,Hair Salon,8.07,Rarely,Low Value
50224,66,Low,Coffee Shop,23.73,Rarely,Low Value
50225,20,Medium,Pet Store,38.27,Monthly,Medium Value
50226,47,High,Boutique,56.92,Weekly,Medium Value
50227,57,Medium,Bakery,32.76,Weekly,Medium Value
50228,48,Medium,Restaurant,66.67,Rarely,Low Value
50229,55,High,Restaurant,38.92,Rarely,Low Value
50230,39,Medium,Gym,65.34,Daily,Low Value
50231,43,Medium,Boutique,36.59,Monthly,Medium Value
50232,19,Medium,Gym,40.58,Weekly,Medium Value
50233,25,Medium,Bakery,23.23,Monthly,Low Value
50234,33,Low,Pet Store,25.8,Monthly,Low Value
50235,65,High,Auto Repair,53.54,Daily,Low Value
50236,58,Medium,Restaurant,59.25,Rarely,Low Value
50237,21,Medium,Hair Salon,16.98,Rarely,Low Value
50238,46,Low,Hair Salon,68.77,Daily,Low Value
50239,41,Low,Pet Store,20.51,Weekly,Low Value
50240,24,Medium,Gym,41.58,Rarely,Low Value
50241,40,Medium,Gym,85.49,Weekly,High Value
50242,33,Medium,Restaurant,19.01,Monthly,Low Value
50243,55,Low,Bakery,5.0,Monthly,Low Value
50244,32,Low,Hair Salon,56.95,Monthly,Medium Value
50245,35,High,Gym,58.78,Monthly,Medium Value
50246,42,Medium,Gym,68.71,Daily,Low Value
50247,33,Medium,Gym,65.9,Weekly,Medium Value
50248,47,Low,Bookstore,79.18,Weekly,Medium Value
50249,24,Medium,Boutique,22.1,Weekly,Low Value
50250,68,Medium,Pet Store,28.61,Rarely,Low Value
50251,40,Medium,Boutique,57.39,Monthly,Medium Value
50252,60,Low,Hair Salon,5.0,Rarely,Low Value
50253,66,Medium,Coffee Shop,20.84,Weekly,Low Value
50254,59,Medium,Auto Repair,28.25,Monthly,Low Value
50255,24,Low,Gym,47.75,Monthly,Medium Value
50256,58,Low,Restaurant,61.63,Monthly,Medium Value
50257,18,High,Hair Salon,46.19,Weekly,Medium Value
50258,38,Low,Pet Store,47.74,Rarely,Low Value
50259,41,Medium,Pet Store,23.3,Monthly,Low Value
50260,30,High,Plumber,61.28,Rarely,Low Value
50261,46,Medium,Boutique,8.66,Daily,Low Value
50262,53,Medium,Auto Repair,38.57,Rarely,Low Value
50263,38,Low,Coffee Shop,15.56,Weekly,Low Value
50264,50,High,Plumber,37.9,Monthly,Medium Value
50265,32,Low,Boutique,5.0,Daily,Low Value
50266,65,Medium,Auto Repair,51.69,Rarely,Low Value
50267,46,Medium,Gym,84.12,Rarely,Low Value
50268,22,High,Pet Store,55.72,Monthly,Medium Value
50269,63,High,Auto Repair,59.68,Rarely,Low Value
50270,68,Low,Pet Store,5.0,Weekly,Low Value
50271,44,Medium,Restaurant,58.53,Weekly,Medium Value
50272,64,Medium,Boutique,5.0,Rarely,Low Value
50273,38,Medium,Pet Store,13.77,Rarely,Low Value
50274,39,Low,Hair Salon,95.15,Weekly,High Value
50275,55,Medium,Pet Store,35.2,Rarely,Low Value
50276,18,Low,Hair Salon,125.51,Daily,High Value
50277,35,Medium,Hair Salon,13.4,Rarely,Low Value
50278,57,Low,Plumber,51.03,Weekly,Medium Value
50279,42,Medium,Bookstore,23.22,Rarely,Low Value
50280,41,Low,Auto Repair,19.0,Daily,Low Value
50281,58,Medium,Coffee Shop,20.7,Weekly,Low Value
50282,25,Medium,Coffee Shop,34.18,Weekly,Medium Value
50283,28,Medium,Plumber,35.13,Monthly,Medium Value
50284,18,High,Auto Repair,19.68,Monthly,Low Value
50285,65,Medium,Boutique,49.57,Monthly,Medium Value
50286,39,Medium,Bakery,72.77,Monthly,Medium Value
50287,28,High,Gym,5.0,Rarely,Low Value
50288,57,Medium,Bakery,58.05,Daily,Low Value
50289,20,Low,Auto Repair,37.68,Monthly,Medium Value
50290,53,Low,Pet Store,45.27,Monthly,Medium Value
50291,48,Medium,Auto Repair,52.74,Weekly,Medium Value
50292,22,Medium,Bakery,105.84,Monthly,Medium Value
50293,47,Medium,Restaurant,47.14,Monthly,Medium Value
50294,37,Medium,Pet Store,24.55,Monthly,Low Value
50295,52,High,Pet Store,5.0,Weekly,Low Value
50296,68,Medium,Auto Repair,30.68,Monthly,Medium Value
50297,53,Low,Bakery,24.11,Weekly,Low Value
50298,37,Low,Gym,28.48,Monthly,Low Value
50299,24,Low,Bookstore,58.86,Weekly,Medium Value
50300,24,Medium,Boutique,37.27,Weekly,Medium Value
50301,29,Medium,Pet Store,36.77,Weekly,Medium Value
50302,21,Low,Restaurant,8.94,Rarely,Low Value
50303,38,Low,Gym,43.51,Rarely,Low Value
50304,64,Low,Hair Salon,35.35,Rarely,Low Value
50305,24,Medium,Gym,87.54,Weekly,High Value
50306,25,Medium,Restaurant,48.8,Weekly,Medium Value
50307,56,Low,Auto Repair,36.74,Monthly,Medium Value
50308,68,High,Bookstore,70.63,Rarely,Low Value
50309,55,Low,Bakery,70.82,Weekly,Medium Value
50310,54,Low,Auto Repair,37.83,Monthly,Medium Value
50311,65,Medium,Bookstore,28.88,Rarely,Low Value
50312,67,Medium,Boutique,7.68,Rarely,Low Value
50313,35,Low,Hair Salon,82.66,Daily,High Value
50314,51,Low,Restaurant,89.49,Monthly,Medium Value
50315,39,Low,Gym,43.83,Rarely,Low Value
50316,19,Low,Coffee Shop,73.46,Monthly,Medium Value
50317,35,Low,Restaurant,8.0,Monthly,Low Value
50318,32,Medium,Bakery,86.89,Rarely,Low Value
50319,41,Low,Boutique,55.39,Monthly,Medium Value
50320,33,Medium,Gym,5.0,Weekly,Low Value
50321,65,High,Boutique,82.39,Daily,High Value
50322,30,Low,Pet Store,5.0,Rarely,Low Value
50323,52,High,Coffee Shop,6.6,Weekly,Low Value
50324,67,Medium,Gym,95.95,Weekly,High Value
50325,26,Low,Hair Salon,10.41,Monthly,Low Value
50326,48,Medium,Hair Salon,40.66,Rarely,Low Value
50327,55,Medium,Pet Store,5.0,Monthly,Low Value
50328,58,Medium,Boutique,35.98,Monthly,Medium Value
50329,20,Medium,Auto Repair,49.96,Daily,Low Value
50330,65,High,Plumber,5.01,Weekly,Low Value
50331,44,Medium,Bakery,50.67,Rarely,Low Value
50332,45,High,Pet Store,48.53,Monthly,Medium Value
50333,24,Medium,Coffee Shop,17.69,Weekly,Low Value
50334,29,Low,Boutique,43.12,Monthly,Medium Value
50335,27,Medium,Plumber,18.31,Weekly,Low Value
50336,53,High,Restaurant,47.13,Weekly,Medium Value
50337,68,Low,Bakery,46.07,Weekly,Medium Value
50338,42,Medium,Hair Salon,32.17,Rarely,Low Value
50339,51,Medium,Plumber,12.98,Weekly,Low Value
50340,51,High,Plumber,30.81,Monthly,Medium Value
50341,62,Low,Restaurant,5.0,Rarely,Low Value
50342,62,Medium,Plumber,45.37,Daily,Low Value
50343,64,Low,Plumber,7.39,Rarely,Low Value
50344,21,Medium,Auto Repair,36.42,Rarely,Low Value
50345,60,Medium,Restaurant,32.19,Daily,Low Value
50346,64,Medium,Hair Salon,82.74,Monthly,Medium Value
50347,39,Medium,Boutique,54.52,Weekly,Medium Value
50348,52,High,Gym,32.81,Weekly,Medium Value
50349,43,High,Plumber,43.98,Weekly,Medium Value
50350,46,High,Pet Store,50.29,Rarely,Low Value
50351,69,High,Boutique,22.74,Weekly,Low Value
50352,50,Medium,Auto Repair,68.22,Monthly,Medium Value
50353,33,Medium,Hair Salon,49.89,Daily,Low Value
50354,35,Medium,Plumber,45.28,Daily,Low Value
50355,30,Low,Pet Store,56.83,Monthly,Medium Value
50356,33,Low,Bookstore,51.8,Weekly,Medium Value
50357,37,Medium,Restaurant,58.48,Weekly,Medium Value
50358,25,Medium,Restaurant,5.0,Daily,Low Value
50359,27,Medium,Restaurant,83.24,Rarely,Low Value
50360,47,High,Pet Store,8.61,Weekly,Low Value
50361,43,High,Bookstore,78.02,Monthly,Medium Value
50362,27,Medium,Hair Salon,27.65,Weekly,Low Value
50363,54,Medium,Hair Salon,50.52,Weekly,Medium Value
50364,63,Low,Hair Salon,32.31,Weekly,Medium Value
50365,58,Medium,Plumber,5.0,Daily,Low Value
50366,20,Medium,Pet Store,5.0,Daily,Low Value
50367,48,Medium,Bakery,44.71,Weekly,Medium Value
50368,63,Low,Coffee Shop,9.11,Weekly,Low Value
50369,52,High,Restaurant,42.08,Monthly,Medium Value
50370,66,Low,Hair Salon,74.26,Daily,Low Value
50371,31,Medium,Pet Store,33.97,Weekly,Medium Value
50372,64,Low,Gym,5.0,Weekly,Low Value
50373,66,Medium,Hair Salon,25.53,Rarely,Low Value
50374,40,High,Boutique,5.0,Monthly,Low Value
50375,68,Medium,Coffee Shop,30.72,Weekly,Medium Value
50376,60,Medium,Bakery,88.32,Weekly,High Value
50377,18,Low,Bakery,10.0,Monthly,Low Value
50378,66,Low,Boutique,34.78,Daily,Low Value
50379,49,Low,Gym,90.12,Weekly,High Value
50380,68,Low,Coffee Shop,23.06,Weekly,Low Value
50381,28,Medium,Coffee Shop,15.56,Rarely,Low Value
50382,48,Low,Bakery,93.72,Rarely,Low Value
50383,53,High,Auto Repair,33.05,Monthly,Medium Value
50384,54,High,Restaurant,5.0,Monthly,Low Value
50385,44,Low,Plumber,35.48,Monthly,Medium Value
50386,22,High,Auto Repair,33.16,Rarely,Low Value
50387,54,Low,Coffee Shop,9.88,Monthly,Low Value
50388,57,High,Pet Store,75.17,Daily,Low Value
50389,30,Medium,Coffee Shop,79.69,Weekly,Medium Value
50390,22,High,Boutique,35.46,Rarely,Low Value
50391,49,Medium,Pet Store,44.29,Weekly,Medium Value
50392,65,High,Boutique,17.39,Monthly,Low Value
50393,35,Low,Bookstore,73.22,Daily,Low Value
50394,20,Low,Boutique,58.87,Rarely,Low Value
50395,64,Low,Bookstore,10.22,Weekly,Low Value
50396,51,Low,Bakery,5.0,Daily,Low Value
50397,25,Low,Plumber,76.73,Weekly,Medium Value
50398,48,Low,Gym,76.38,Weekly,Medium Value
50399,55,Medium,Pet Store,81.17,Monthly,Medium Value
50400,28,Medium,Bakery,115.01,Monthly,Medium Value
50401,23,Medium,Bakery,59.29,Monthly,Medium Value
50402,49,Low,Auto Repair,75.12,Weekly,Medium Value
50403,18,Medium,Restaurant,5.0,Weekly,Low Value
50404,66,Medium,Boutique,5.0,Monthly,Low Value
50405,49,High,Plumber,47.09,Monthly,Medium Value
50406,33,High,Restaurant,34.4,Weekly,Medium Value
50407,54,Medium,Boutique,94.53,Monthly,Medium Value
50408,46,Low,Auto Repair,52.32,Rarely,Low Value
50409,57,High,Plumber,71.7,Daily,Low Value
50410,21,Medium,Bookstore,42.24,Weekly,Medium Value
50411,49,Low,Coffee Shop,20.17,Weekly,Low Value
50412,36,Medium,Gym,35.33,Weekly,Medium Value
50413,64,High,Bookstore,5.0,Monthly,Low Value
50414,55,High,Bookstore,54.39,Weekly,Medium Value
50415,25,Low,Pet Store,22.14,Rarely,Low Value
50416,67,Medium,Hair Salon,89.04,Weekly,High Value
50417,64,Low,Plumber,48.42,Rarely,Low Value
50418,55,Medium,Boutique,56.89,Monthly,Medium Value
50419,25,High,Bakery,5.0,Weekly,Low Value
50420,29,Medium,Coffee Shop,26.63,Daily,Low Value
50421,49,High,Auto Repair,46.37,Monthly,Medium Value
50422,21,Medium,Bakery,28.67,Weekly,Low Value
50423,50,Low,Plumber,35.52,Rarely,Low Value
50424,61,Medium,Bakery,51.05,Weekly,Medium Value
50425,52,Medium,Restaurant,21.47,Monthly,Low Value
50426,48,Medium,Coffee Shop,38.37,Weekly,Medium Value
50427,40,Medium,Gym,31.98,Rarely,Low Value
50428,18,Low,Bookstore,41.32,Weekly,Medium Value
50429,69,High,Pet Store,45.98,Daily,Low Value
50430,62,Medium,Restaurant,44.75,Rarely,Low Value
50431,40,Low,Gym,25.22,Daily,Low Value
50432,18,Medium,Hair Salon,25.98,Monthly,Low Value
50433,69,Medium,Gym,20.9,Monthly,Low Value
50434,26,Medium,Bakery,45.6,Monthly,Medium Value
50435,57,Medium,Auto Repair,33.42,Monthly,Medium Value
50436,57,Medium,Coffee Shop,43.37,Monthly,Medium Value
50437,64,High,Boutique,69.01,Monthly,Medium Value
50438,42,High,Pet Store,38.99,Monthly,Medium Value
50439,36,Low,Pet Store,40.88,Rarely,Low Value
50440,44,Low,Gym,45.96,Monthly,Medium Value
50441,67,Low,Bookstore,12.42,Monthly,Low Value
50442,53,Medium,Restaurant,30.42,Rarely,Low Value
50443,26,Medium,Hair Salon,86.82,Monthly,Medium Value
50444,46,Medium,Hair Salon,47.2,Rarely,Low Value
50445,52,Medium,Gym,93.47,Weekly,High Value
50446,24,Medium,Plumber,33.42,Monthly,Medium Value
50447,66,Low,Auto Repair,57.69,Daily,Low Value
50448,43,Medium,Plumber,14.75,Weekly,Low Value
50449,22,Medium,Bookstore,47.22,Rarely,Low Value
50450,22,Medium,Restaurant,23.11,Monthly,Low Value
50451,51,Medium,Plumber,42.62,Weekly,Medium Value
50452,67,High,Bakery,52.57,Daily,Low Value
50453,47,Medium,Gym,29.95,Monthly,Low Value
50454,40,Medium,Boutique,35.56,Rarely,Low Value
50455,48,Medium,Pet Store,54.55,Monthly,Medium Value
50456,44,Low,Bookstore,87.8,Monthly,Medium Value
50457,45,Medium,Bookstore,67.73,Daily,Low Value
50458,56,Low,Coffee Shop,38.39,Rarely,Low Value
50459,26,Low,Pet Store,71.7,Daily,Low Value
50460,57,Low,Hair Salon,26.35,Weekly,Low Value
50461,50,Low,Auto Repair,5.0,Monthly,Low Value
50462,47,Medium,Gym,29.5,Daily,Low Value
50463,40,Medium,Restaurant,89.07,Weekly,High Value
50464,22,High,Bakery,13.63,Monthly,Low Value
50465,59,Medium,Boutique,33.17,Weekly,Medium Value
50466,19,Medium,Gym,23.58,Rarely,Low Value
50467,61,High,Restaurant,20.22,Monthly,Low Value
50468,32,Medium,Pet Store,20.94,Rarely,Low Value
50469,60,Low,Restaurant,30.25,Rarely,Low Value
50470,29,Low,Bookstore,84.43,Weekly,High Value
50471,47,Low,Boutique,53.4,Rarely,Low Value
50472,39,Medium,Boutique,47.47,Weekly,Medium Value
50473,59,Medium,Boutique,30.26,Weekly,Medium Value
50474,69,Medium,Boutique,5.0,Rarely,Low Value
50475,26,Low,Boutique,26.34,Monthly,Low Value
50476,68,Medium,Auto Repair,5.0,Rarely,Low Value
50477,58,Medium,Restaurant,58.74,Weekly,Medium Value
50478,63,High,Bakery,62.87,Weekly,Medium Value
50479,43,High,Auto Repair,13.69,Daily,Low Value
50480,66,Low,Coffee Shop,55.42,Weekly,Medium Value
50481,30,Medium,Restaurant,40.92,Daily,Low Value
50482,38,Medium,Plumber,5.9,Monthly,Low Value
50483,30,High,Gym,56.95,Monthly,Medium Value
50484,45,Low,Boutique,31.19,Weekly,Medium Value
50485,48,Medium,Boutique,35.34,Weekly,Medium Value
50486,47,Medium,Pet Store,83.22,Rarely,Low Value
50487,27,Medium,Boutique,62.07,Rarely,Low Value
50488,57,Low,Pet Store,56.25,Monthly,Medium Value
50489,64,Medium,Bookstore,5.0,Daily,Low Value
50490,46,Medium,Gym,48.47,Weekly,Medium Value
50491,25,Medium,Bakery,18.16,Monthly,Low Value
